,GAME_ID,EVENTNUM,EVENTMSGTYPE,PERSON1TYPE,TIMEOUT_TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
12923,21900624,644,9,3.0,1610612737,Atlanta Hawks,ATL
12943,21900624,674,9,2.0,1610612759,San Antonio Spurs,SAS
12958,21900624,694,9,2.0,1610612759,San Antonio Spurs,SAS
13018,21900598,73,9,3.0,1610612756,Phoenix Suns,PHX
13051,21900598,122,9,2.0,1610612737,Atlanta Hawks,ATL
13130,21900598,234,9,2.0,1610612737,Atlanta Hawks,ATL
13161,21900598,277,9,3.0,1610612756,Phoenix Suns,PHX
13209,21900598,355,9,3.0,1610612756,Phoenix Suns,PHX
13235,21900598,388,9,2.0,1610612737,Atlanta Hawks,ATL
13281,21900598,461,9,2.0,1610612737,Atlanta Hawks,ATL
13339,21900598,549,9,2.0,1610612737,Atlanta Hawks,ATL
13359,21900598,575,9,3.0,1610612756,Phoenix Suns,PHX
13407,21900598,644,9,3.0,1610612756,Phoenix Suns,PHX
13497,21900586,57,9,2.0,1610612751,Brooklyn Nets,BKN
13535,21900586,113,9,3.0,1610612737,Atlanta Hawks,ATL
13607,21900586,225,9,3.0,1610612737,Atlanta Hawks,ATL
13613,21900586,235,9,2.0,1610612751,Brooklyn Nets,BKN
13668,21900586,313,9,2.0,1610612751,Brooklyn Nets,BKN
13715,21900586,378,9,3.0,1610612737,Atlanta Hawks,ATL
13725,21900586,394,9,2.0,1610612751,Brooklyn Nets,BKN
13751,21900586,428,9,3.0,1610612737,Atlanta Hawks,ATL
13869,21900586,606,9,2.0,1610612751,Brooklyn Nets,BKN
13902,21900586,654,9,3.0,1610612737,Atlanta Hawks,ATL
13936,21900586,698,9,3.0,1610612737,Atlanta Hawks,ATL
13985,21900567,58,9,2.0,1610612764,Washington Wizards,WAS
14017,21900567,105,9,3.0,1610612737,Atlanta Hawks,ATL
14131,21900567,266,9,2.0,1610612764,Washington Wizards,WAS
14184,21900567,335,9,2.0,1610612764,Washington Wizards,WAS
14289,21900567,489,9,2.0,1610612764,Washington Wizards,WAS
14308,21900567,515,9,2.0,1610612764,Washington Wizards,WAS
14359,21900567,581,9,3.0,1610612737,Atlanta Hawks,ATL
14406,21900567,649,9,3.0,1610612737,Atlanta Hawks,ATL
14441,21900567,696,9,3.0,1610612737,Atlanta Hawks,ATL
14479,21900567,748,9,3.0,1610612737,Atlanta Hawks,ATL
14541,21900558,77,9,2.0,1610612737,Atlanta Hawks,ATL
